conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,pensar com espírito crítico,released,,"Formular e defender juízos com base em elementos de prova internos e em critérios externos. Avaliar num espírito crítico a credibilidade e a fiabilidade das informações antes de as utilizar ou de as transmitir a terceiros. Desenvolver um pensamento independente e crítico.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"processar informações, ideias e conceitos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,aliciar outras pessoas para comportamentos respeitadores do ambiente,released,,"Difundir informações e promover comportamentos respeitadores do ambiente nas redes sociais e no trabalho.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,aplicar aptidões e competências relacionadas com o ambiente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,dar atenção ao pormenor,released,,"Desempenhar uma tarefa tendo em consideração todas as áreas envolvidas, independentemente da sua dimensão.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,trabalhar eficazmente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,utilizar o sistema de saúde com conhecimento de causa,released,,"Identificar e selecionar os adequados serviços ou agências de prevenção e tratamento que ofereçam cuidados de saúde e gerir os medicamentos com segurança.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,aplicar aptidões e competências relacionadas com a saúde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,promover os princípios da democracia e do Estado de direito,released,,"Desempenhar um papel ativo na promoção dos princípios da democracia, da justiça social e do Estado de direito. Confrontar situações de discriminação com base na identidade ou na orientação étnica, cultural ou sexual, bem como nos antecedentes sociais, educativos ou económicos, avaliando e expressando as implicações para os diferentes grupos de qualquer ação planeada, incluindo legislação, políticas ou programas.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,aplicar aptidões e competências cívicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,expressar-se de forma criativa,released,,"Ser capaz de utilizar o canto, a dança, a música instrumental, a representação ou as artes para se expressar de forma criativa.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,aplicar aptidões e competências culturais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,skill/competence,transversal,resolver conflitos,released,,"Mediar conflitos e situações tensas, intervindo entre as partes, procurando chegar a acordo, reconciliar e resolver problemas. Resolver um conflito de modo a que nenhuma das vítimas se sinta prejudicada e evitar argumentos antecipadamente.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,comunicar
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,skill/competence,transversal,valorizar a diversidade da expressão cultural e artística,released,,"Demonstrar sensibilidade estética, interesse e abertura face a expressões artísticas de diferentes contextos culturais.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,aplicar aptidões e competências culturais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,demonstrar disponibilidade para aprender,released,l,Mostrar uma atitude positiva em face de novas e desafiadoras exigências que só podem ser satisfeitas através da aprendizagem ao longo da vida.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,demonstrar disponibilidade para aprender
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,skill/competence,transversal,"utilizar equipamento, ferramentas ou tecnologias com precisão",released,,"Utilizar, de forma autónoma, peças, ferramentas, instrumentos ou equipamentos de precisão para realizar atividades manuais, com ou sem formação mínima.
  ",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,manusear e controlar objetos e equipamentos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,skill/competence,transversal,manter a concentração durante longos períodos,released,,Permanecer concentrado durante um longo período de tempo a fim de fazer juízos corretos e tomar decisões adequadas.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,trabalhar eficazmente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,skill/competence,transversal,identificar problemas,released,,"Identificar e detetar problemas e decidir qual a melhor via a seguir. Comunicar os problemas em conformidade, sempre que necessário.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,solucionar problemas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,skill/competence,transversal,manter uma boa forma física,released,,"Adotar e seguir comportamentos preventivos saudáveis, incluindo exercício físico regular, uma rotina de sono saudável e uma dieta saudável.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,aplicar aptidões e competências relacionadas com a saúde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,skill/competence,transversal,resolver problemas,released,,"Encontrar soluções para problemas práticos, operacionais ou conceptuais numa vasta gama de contextos.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,solucionar problemas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,skill/competence,transversal,delegar responsabilidades,released,,"Delegar responsabilidades, atividades e tarefas a terceiros, de acordo com as suas capacidades, competências e nível de preparação. Assegurar que as pessoas compreendem o que devem fazer e quando devem fazê-lo.
  ",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,liderar outras pessoas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,skill/competence,transversal,utilizar software de comunicação e colaboração,released,,"Utilizar ferramentas e tecnologias digitais simples para comunicar, interagir e colaborar com outras pessoas.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,skill/competence,transversal,fomentar espírito de equipa,released,,"Estabelecer uma relação de confiança mútua, respeito e cooperação entre os membros da mesma equipa.
  ",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,liderar outras pessoas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,skill/competence,transversal,improvisar,released,,"Ser capaz de improvisar e reagir de imediato sem planeamento prévio a situações anteriormente desconhecidas.
  ",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,pensar de forma criativa e inovadora
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,skill/competence,transversal,cumprir a regulamentação,released,,"Cumprir e respeitar as regras, regulamentos e orientações num domínio ou setor específico e aplicá-las no trabalho quotidiano.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,respeitar o código deontológico
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b6bdf202-524f-475d-b813-2aa9af005c37,skill/competence,transversal,movimentar objetos,released,,"Realizar atividades físicas para movimentar, carregar, descarregar ou armazenar objetos ou para subir a estruturas, manualmente ou com a ajuda de equipamento.
  ",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,manusear e controlar objetos e equipamentos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2,skill/competence,transversal,realizar pesquisas na Internet,released,,"Pesquisar dados, informações e conteúdos através de pesquisas simples em ambientes digitais.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,skill/competence,cross-sector,gerir identidades digitais,released,,"Criar e gerir uma ou várias identidades digitais, ser capaz de proteger a sua própria reputação, tratar os dados produzidos em várias ferramentas, ambientes e serviços digitais.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,comunicação e colaboração digitais | trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bcf002ce-90f8-42e5-ac1b-5dba208639b0,skill/competence,transversal,demonstrar fiabilidade,released,,"Demonstrar honestidade, integridade e credibilidade no local de trabalho. Dar provas de lealdade para com a sua equipa e organização e provar a sua idoneidade.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,respeitar o código deontológico
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e,skill/competence,transversal,dar provas de espírito empreendedor,released,,"Criar, organizar e gerir uma empresa própria, identificando e perseguindo oportunidades e mobilizando recursos, numa perspetiva de rentabilidade. Demonstrar uma atitude proativa e determinação para ter sucesso nos negócios.
  ",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,aplicar aptidões e competências empresariais e financeiras
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/be6ab363-3de1-427f-a8ef-85d5b0250822,skill/competence,transversal,transmitir informações oralmente,released,,Transmitir informações ou relatar eventos oralmente.,http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,comunicar
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,skill/competence,transversal,aplicar competências básicas de programação,released,,"Enumerar instruções simples para um sistema informático resolver problemas ou executar tarefas a um nível básico, se necessário com ajuda.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf983f2a-e941-4646-811d-cc81060cb53f,skill/competence,transversal,construir redes de contactos,released,,"Demonstrar capacidade para estabelecer relações eficazes, gerar e manter alianças, contactos ou parcerias e trocar informações com outros.
  ",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,colaborar em equipas e redes
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8,skill/competence,transversal,demonstrar competências interculturais,released,,Compreender e respeitar as pessoas que são consideradas como tendo diferentes afinidades culturais e de lhes dar uma resposta eficaz e respeitosa.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,colaborar em equipas e redes
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c29aa9d2-4da8-4bdd-831c-8d4a2fb51730,skill/competence,transversal,trabalhar de forma independente,released,,"Desenvolver a sua própria forma de fazer as coisas, automotivar-se com pouca ou nenhuma supervisão, dependendo apenas do próprio para a sua realização.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,trabalhar eficazmente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,skill/competence,transversal,pensar de forma inovadora,released,,"Desenvolver ideias ou conclusões que conduzam à geração e à implementação de inovações ou mudanças.
  ",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,pensar de forma criativa e inovadora
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,skill/competence,transversal,demonstrar consciência dos riscos para a saúde,released,,"Ser capaz de avaliar e gerir os riscos para a saúde pessoal, por exemplo seguindo precauções de segurança nas práticas de trabalho, aplicando medidas de proteção contra incêndios, aplicando princípios de ergonomia e tendo em conta os efeitos da droga e do álcool nos indivíduos, nas famílias e nas comunidades.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,aplicar aptidões e competências relacionadas com a saúde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c624c6a3-b0ba-4a31-a296-0d433fe47e41,skill/competence,transversal,pensar de forma criativa,released,,Gerar novas ideias ou combinar as existentes para desenvolver soluções novas e inovadoras.,http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,pensar de forma criativa e inovadora
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d56e2c2f-3e01-4b76-a7bb-ecb6d430172f,skill/competence,transversal,pensar de forma holística,released,,"Ter em conta as consequências indiretas e a longo prazo aquando do planeamento e da tomada de decisões. Considerar os efeitos noutras pessoas, nos processos e no ambiente e incluí-los no planeamento.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"processar informações, ideias e conceitos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47,skill/competence,transversal,tomar decisões,released,,Escolher entre várias possibilidades alternativas.,http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,adotar uma abordagem proativa
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d822b4b2-26c7-4bd9-970d-229c6504f615,skill/competence,transversal,criar conteúdos digitais,released,,"Criar e editar conteúdos digitais simples, se necessário com ajuda.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,skill/competence,transversal,fazer gestão do tempo,released,,"Planear a sequência temporal de eventos, programas e atividades, bem como o trabalho de terceiros.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,trabalhar eficazmente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,skill/competence,transversal,aplicar normas de higiene,released,,"Assumir a responsabilidade pessoal de garantir um ambiente de trabalho e de vida seguro e livre de infeções, designadamente mediante a utilização de máscaras, desinfetantes e medidas gerais de higiene pessoal.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,aplicar aptidões e competências relacionadas com a saúde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,skill/competence,transversal,avaliar de forma crítica a informação e as suas fontes,released,,"Ser capaz de avaliar e analisar a informação e as suas fontes. Demonstrar capacidade para aceder e compreender de forma crítica os meios de comunicação tradicionais e os novos meios de comunicação social, bem como o seu papel e função nas sociedades democráticas.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,aplicar aptidões e competências cívicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,skill/competence,transversal,gerir doenças crónicas,released,,"Identificar e utilizar formas de minimizar os efeitos negativos de doenças crónicas para a saúde, incluindo a utilização de aparelhos de auxílio à visão, audição e marcha, os medicamentos corretos e apoio social e médico adequado.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,aplicar aptidões e competências relacionadas com a saúde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,skill/competence,transversal,aplicar conhecimentos das ciências sociais e humanas,released,,"Demonstrar uma compreensão da natureza, do pluralismo e da função de grupos sociais e políticos, bem como da sua relação com a dimensão socioeconómica da sociedade. Compreender o papel e o lugar dos indivíduos na sociedade.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,aplicar conhecimentos gerais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,skill/competence,transversal,"promover ideias, produtos ou serviços",released,,"Apresentar e publicitar produtos, programas e serviços com o objetivo de persuadir e influenciar outros.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,comunicar
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,skill/competence,transversal,motivar outras pessoas,released,,"Influenciar o comportamento de outras pessoas, indicando-lhes motivos convincentes para que tomem iniciativas.",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,liderar outras pessoas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c,skill/competence,transversal,respeitar obrigações de confidencialidade,released,,"Dar provas da discrição e da contenção necessárias no tratamento de informações confidenciais, secretas ou desagradáveis.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,respeitar o código deontológico
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,skill/competence,transversal,planear,released,,"Gerir a sua agenda e recursos para concluir tarefas em tempo útil.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,planear e organizar
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ef7562b2-f176-4d7c-a0b2-27ae8cce0b7d,skill/competence,transversal,reagir a alterações ou perigos físicos,released,,"Reagir e responder rapidamente e de forma adequada a circunstâncias e estímulos externos ou internos.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,responder a circunstâncias físicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d,skill/competence,transversal,aplicar medidas de segurança digital,released,,"Aplicar formas simples de proteger dispositivos e conteúdos digitais.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1,skill/competence,transversal,exercer direitos e responsabilidades,released,,"Conhecer e fazer uso dos direitos constitucionais e jurídicos, incluindo o dever de respeitar a lei, pagar impostos e prestar assistência, bem como o direito de voto, de ser eleito ou de ter um advogado de defesa presente em tribunal.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,aplicar aptidões e competências cívicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa46a48d-9cb9-422d-afab-1047654dbcdd,skill/competence,transversal,memorizar informações,released,memorizar procedimentos | memorizar factos | decorar informações,"Armazenar informações como palavras, números, imagens e procedimentos para posterior utilização.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"processar informações, ideias e conceitos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,skill/competence,transversal,manter abertura de espírito,released,,"Ter interesse nos problemas dos outros, mantendo um espírito aberto.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,demonstrar disponibilidade para aprender
